study,subject,trial,gambleType,gain,loss,cert,tookGamble
study_1,101,9,gain_loss,10,-2.5,0,1
study_1,101,10,gain_loss,6,-3.75,0,1
study_1,101,11,gain_loss,16,-10.0,0,0
study_1,101,12,gain_loss,10,-18.75,0,0
study_1,101,13,gain_loss,5,-9.375,0,0
study_1,101,14,gain_loss,2,-4.0,0,0
study_1,101,15,gain_loss,12,-7.5,0,1
study_1,101,16,gain_loss,9,-16.875,0,0
study_1,101,17,gain_loss,4,-1.0,0,1
study_1,101,18,gain_loss,2,-1.5,0,1
study_1,101,19,gain_loss,6,-1.5,0,1
study_1,101,20,gain_loss,16,-4.0,0,1
study_1,101,21,gain_loss,10,-12.5,0,0
study_1,101,22,gain_loss,4,-8.0,0,0
study_1,101,23,gain_loss,6,-12.0,0,0
study_1,101,24,gain_loss,16,-8.0,0,1
study_1,101,25,gain_loss,9,-18.0,0,0
study_1,101,26,gain_loss,16,-22.0,0,0
study_1,101,27,gain_loss,4,-3.5,0,1
study_1,101,28,gain_loss,2,-3.25,0,0
study_1,101,29,gain_loss,12,-3.0,0,1
study_1,101,30,gain_loss,8,-9.0,0,0
study_1,101,31,gain_loss,15,-16.875,0,0
study_1,101,32,gain_loss,12,-16.5,0,0
study_1,101,33,gain_loss,15,-26.25,0,0
study_1,101,34,gain_loss,16,-26.0,0,0
study_1,101,35,gain_loss,5,-6.875,0,0
study_1,101,36,gain_loss,10,-20.0,0,0
study_1,101,37,gain_loss,9,-14.625,0,0
study_1,101,38,gain_loss,10,-8.75,0,0
study_1,101,39,gain_loss,16,-24.0,0,0
study_1,101,40,gain_loss,9,-4.5,0,1
study_1,101,41,gain_loss,4,-6.5,0,0
study_1,101,42,gain_loss,14,-15.75,0,0
study_1,101,43,gain_loss,9,-10.125,0,0
study_1,101,44,gain_loss,14,-26.25,0,0
study_1,101,45,gain_loss,14,-19.25,0,0
study_1,101,46,gain_loss,10,-3.75,0,1
study_1,101,47,gain_loss,4,-2.0,0,1
study_1,101,48,gain_loss,10,-13.75,0,0
study_1,101,49,gain_loss,16,-16.0,0,0
study_1,101,50,gain_loss,16,-12.0,0,0
study_1,101,51,gain_loss,12,-24.0,0,0
study_1,101,52,gain_loss,14,-24.5,0,0
study_1,101,53,gain_loss,16,-32.0,0,0
study_1,101,54,gain_loss,15,-20.625,0,0
study_1,101,55,gain_loss,4,-7.0,0,0
study_1,101,56,gain_loss,8,-12.0,0,0
study_1,101,57,gain_loss,8,-11.0,0,0
study_1,101,58,gain_loss,10,-17.5,0,0
study_1,101,59,gain_loss,12,-21.0,0,0
study_1,101,60,gain_loss,2,-2.75,0,0
study_1,101,61,gain_loss,12,-15.0,0,0
study_1,101,62,gain_loss,14,-22.75,0,0
study_1,101,63,gain_loss,2,-2.25,0,0
study_1,101,64,gain_loss,15,-13.125,0,0
study_1,101,65,gain_loss,14,-14.0,0,0
study_1,101,66,gain_loss,8,-14.0,0,0
study_1,101,67,gain_loss,9,-7.875,0,0
study_1,101,68,gain_loss,15,-9.375,0,1
study_1,101,69,gain_loss,6,-11.25,0,0
study_1,101,70,gain_loss,9,-11.25,0,0
study_1,101,71,gain_loss,5,-7.5,0,0
study_1,101,72,gain_loss,8,-5.0,0,1
study_1,101,73,gain_loss,12,-22.5,0,0
study_1,101,74,gain_loss,2,-2.5,0,0
study_1,101,75,gain_loss,4,-1.5,0,1
study_1,101,76,gain_loss,5,-8.75,0,0
study_1,101,77,gain_loss,10,-16.25,0,0
study_1,101,78,gain_loss,10,-10.0,0,0
study_1,101,79,gain_loss,2,-2.0,0,0
study_1,101,80,gain_loss,2,-0.5,0,1
study_1,101,81,gain_loss,16,-18.0,0,0
study_1,101,82,gain_loss,10,-7.5,0,1
study_1,101,83,gain_loss,15,-5.625,0,1
study_1,101,84,gain_loss,14,-12.25,0,1
study_1,101,85,gain_loss,5,-5.0,0,0
study_1,101,86,gain_loss,14,-8.75,0,1
study_1,101,87,gain_loss,16,-20.0,0,0
study_1,101,88,gain_loss,4,-2.5,0,1
study_1,101,89,gain_loss,15,-15.0,0,0
study_1,101,90,gain_loss,5,-3.125,0,1
study_1,101,91,gain_loss,12,-6.0,0,1
study_1,101,92,gain_loss,9,-12.375,0,0
study_1,101,93,gain_loss,5,-2.5,0,1
study_1,101,94,gain_loss,2,-3.75,0,0
study_1,101,95,gain_loss,12,-19.5,0,0
study_1,101,96,gain_loss,2,-0.75,0,1
study_1,101,97,gain_loss,6,-7.5,0,0
study_1,101,98,gain_loss,8,-3.0,0,1
study_1,101,99,gain_loss,8,-13.0,0,0
study_1,101,100,gain_loss,12,-10.5,0,0
study_1,101,101,gain_loss,10,-6.25,0,1
study_1,101,102,gain_loss,5,-1.25,0,1
study_1,101,103,gain_loss,4,-4.5,0,0
study_1,101,104,gain_loss,14,-21.0,0,0
study_1,101,105,gain_loss,8,-15.0,0,0
study_1,101,106,gain_loss,5,-6.25,0,0
study_1,101,107,gain_loss,9,-15.75,0,0
study_1,101,108,gain_loss,6,-4.5,0,1
study_1,101,109,gain_loss,10,-11.25,0,0
study_1,101,110,gain_loss,5,-1.875,0,1
study_1,101,111,gain_loss,10,-5.0,0,1
study_1,101,112,gain_loss,6,-8.25,0,0
study_1,101,113,gain_loss,14,-10.5,0,0
study_1,101,114,gain_loss,15,-30.0,0,0
study_1,101,115,gain_loss,16,-14.0,0,0
study_1,101,116,gain_loss,15,-28.125,0,0
study_1,101,117,gain_loss,6,-3.0,0,1
study_1,101,118,gain_loss,8,-4.0,0,1
study_1,101,119,gain_loss,2,-3.0,0,0
study_1,101,120,gain_loss,6,-10.5,0,0
study_1,101,121,gain_loss,14,-7.0,0,1
study_1,101,122,gain_loss,5,-3.75,0,1
study_1,101,123,gain_loss,5,-5.625,0,0
study_1,101,124,gain_loss,6,-6.0,0,0
study_1,101,125,gain_loss,12,-18.0,0,0
